PK_UID,Trip_ID,Trip_Start_Timestamp,Trip_End_Timestamp,Trip_Seconds,Trip_Miles,Percent_Time_Chicago,Percent_Distance_Chicago,Pickup_Census_Tract,Dropoff_Census_Tract,Pickup_Community_Area,Dropoff_Community_Area,Fare,Tip,Additional_Charges,Trip_Total,Shared_Trip_Authorized,Shared_Trip_Match,Trips_Pooled,Pickup_Centroid_Latitude,Pickup_Centroid_Longitude,Pickup_Centroid_Location,Dropoff_Centroid_Latitude,Dropoff_Centroid_Longitude,Dropoff_Centroid_Location
1078724,a45e404c67637a35ba8c68eb02abd0ef57a27851,06/26/2024 10:15:00 PM,06/26/2024 10:30:00 PM,1124,4.900000,1,1,,,28,6,32.500000,0,1.230000,33.730000,false,false,1,41.874005,-87.663518,POINT (-87.6635175498 41.874005383),41.944227,-87.655998,POINT (-87.6559981815 41.9442266014)
5948098,9bd17c2ea621b7c1bba3725d89c18b45ac574971,06/07/2024 03:15:00 PM,06/07/2024 03:30:00 PM,896,3.000000,1,1,,,28,24,17.500000,0,5.680000,23.180000,false,false,1,41.874005,-87.663518,POINT (-87.6635175498 41.874005383),41.901207,-87.676356,POINT (-87.6763559892 41.9012069941)
1058729,92cc46f8531e33eee0e5a21cda3cb34d7997e0c8,06/27/2024 12:45:00 AM,06/27/2024 01:30:00 AM,1994,27.800000,0,0,17031980000,,76,,60.000000,12,21.390000,93.390000,false,false,1,41.979071,-87.903040,POINT (-87.9030396611 41.9790708201),,,
2375826,4c4659ad8d22f0f0177e79e2140023a9ffea9ea2,06/21/2024 08:30:00 PM,06/21/2024 09:15:00 PM,2963,26.900000,1,1,,,,6,22.500000,0,6.950000,29.450000,false,false,1,,,,41.944227,-87.655998,POINT (-87.6559981815 41.9442266014)
559953,aceb9a135afb3a822bce97dbf5f80b31fa951c3d,06/28/2024 10:30:00 PM,06/28/2024 10:45:00 PM,816,2.400000,1,1,17031081403,17031842200,8,8,10.000000,0,1.230000,11.230000,false,false,1,41.890922,-87.618868,POINT (-87.6188683546 41.8909220259),41.904935,-87.649907,POINT (-87.6499072264 41.9049353016)
7199958,8fd92610f23c8513b2618355ea3dbaf1ac734e37,06/02/2024 05:30:00 AM,06/02/2024 06:00:00 AM,2260,32.400000,1,1,17031820901,17031980000,,76,47.500000,12,28.120000,87.620000,false,false,1,,,,41.979071,-87.903040,POINT (-87.9030396611 41.9790708201)
5615182,32731bbb30e0ff884d4251cafdfb811df36af308,06/08/2024 04:45:00 PM,06/08/2024 05:00:00 PM,832,3.200000,1,1,17031680900,17031430500,68,43,7.500000,0,3.890000,11.390000,false,false,1,41.776431,-87.637635,POINT (-87.6376353868 41.7764307773),41.764243,-87.581271,POINT (-87.5812710169 41.7642434593)
879689,ff90bc17e5d210cb43687838c2774bc5be852ce0,06/27/2024 07:15:00 PM,06/27/2024 07:45:00 PM,1756,13.100000,1,1,17031031800,17031980000,3,76,22.500000,0,13.910000,36.410000,false,false,1,41.967012,-87.670621,POINT (-87.6706210432 41.9670117607),41.979071,-87.903040,POINT (-87.9030396611 41.9790708201)
2445215,7b42c7c6012a0680cbc87968b3b5db51f27c1311,06/21/2024 04:45:00 PM,06/21/2024 05:00:00 PM,676,1.300000,1,1,17031839100,17031320100,32,32,12.500000,0,2.980000,15.480000,false,false,1,41.880994,-87.632746,POINT (-87.6327464887 41.8809944707),41.884987,-87.620993,POINT (-87.6209929134 41.8849871918)
3855353,f2ae3525946687ec62d72169f8769863eb4e8f3f,06/15/2024 04:15:00 PM,06/15/2024 04:15:00 PM,421,1.300000,1,1,17031320100,17031081700,32,8,12.500000,0,1.230000,13.730000,false,false,1,41.884987,-87.620993,POINT (-87.6209929134 41.8849871918),41.892042,-87.631864,POINT (-87.6318639497 41.8920421365)
